,Disease,Symptoms,Sheet Link
638,"Cancer, Skin (Skin Cancer)",,
639,"Cancer, Soft Tissue Sarcoma (Soft Tissue Sarcoma)",,
640,"Cancer, Squamous Cell Carcinoma (Squamous Cell Carcinoma)",,
641,"Cancer, Stomach (Stomach Cancer)",,
642,"Cancer, Testes (Testicular Cancer)",,
643,"Cancer, Testicular (Testicular Cancer)",,
644,"Cancer, Uterine (Endometrial Cancer)",,
645,"Cancer, Wilms' Tumor (Wilms' Tumor)",,
646,Cancer,,
647,Candida Esophagitis (Esophageal Candidiasis),,
648,Candida Urinary Tract Infection,,
649,"Candidal Esophagitis, see Esophageal Candidiasis",,
650,Candidemia,,
651,Candidiasis (Cutaneous Candidiasis),,
652,"Candidiasis, Cutaneous (Cutaneous Candidiasis)",,
653,"Candidiasis, Oral (Oral Thrush)",,
654,"Candidiasis, Vaginal (Vaginal Yeast Infection)",,
655,Canker Sores (Aphthous Ulcer),,
656,Canthal Lines (Facial Wrinkles),,
657,CAPD (Auditory Processing Disorder),,
658,Capecitabine Overdose,,
659,Capillariasis,,
660,Caplan Syndrome (Rheumatoid Lung),,
661,CAPS (Cryopyrin-Associated Periodic Syndromes),,
662,Carate (Pinta),,
663,Carbuncle (Skin or Soft Tissue Infection),,
664,Carbunculosis (Skin or Soft Tissue Infection),,
665,Carcinoid Syndrome Diarrhea,,
666,Carcinoid Syndrome,,
667,Carcinoid Tumor,,
668,Carcinoma (Cancer),,
669,Carcinoma of Prostate (Prostate Cancer),,
670,"Carcinoma, Ductal (Breast Cancer)",,
671,"Carcinoma, Lobular (Breast Cancer)",,
672,Cardiac Arrest,,
673,Cardiac Arrhythmia,,
674,Cardiac echo (Echocardiography),,
675,Cardiac Sonography (Echocardiography),,
676,Cardiac Tamponade (Pericardial Tamponade),,
677,Cardiogenic Shock,,
678,Cardiomyopathy Prophylaxis,,
679,"Cardiomyopathy, alcoholic (Alcoholic Cardiomyopathy)",,
680,"Cardiomyopathy, dilated (Cardiomyopathy)",,
681,"Cardiomyopathy, hypertrophic (Hypertrophic Cardiomyopathy)",,
682,"Cardiomyopathy, ischemic (Ischemic Heart Disease)",,
683,"Cardiomyopathy, peripartum (Cardiomyopathy)",,
684,"Cardiomyopathy, restrictive (Restrictive Cardiomyopathy)",,
685,Cardiomyopathy,,
686,Cardiothoracic Surgery,,
687,Cardiovascular Conditions and Disorders,,
688,Cardiovascular Risk Reduction,,
689,Carnitine Deficiency,,
690,Carotid Atherosclerosis (Atherosclerosis),,
691,Carpal Tunnel Syndrome,,
692,Castleman's Disease (Multicentric Castlemanâ€™s Disease),,
693,Cat scratch disease (Bartonellosis),,
694,Cat scratch fever (Bartonellosis),,
695,Cataplexy,,
696,Cataract,,
697,Catatonic Schizophrenia (Schizophrenia),,
698,Catheter-Associated Urinary Tract Infection (Urinary Tract Infection),,
699,Cauda Equina Syndrome & Neurogenic Bladder,,
700,Causalgia (Reflex Sympathetic Dystrophy Syndrome),,
701,Cavernosal&Penile Tissue Abnormalities (Penis Disorders),,
702,Cavernous hemangioma (Hemangioma),,
703,Cavernous hepatic hemangioma (Benign Liver Tumor),,
704,CBD (Berylliosis),,
705,CDAD (Clostridial Infection),,
706,CDI (Clostridial Infection),,
707,"Celiac disease, sprue (Celiac Disease)",,
708,Celiac Disease,,
709,Celiac sprue (Celiac Disease),,
710,Cellulitis (Bacterial Skin Infection),,
711,Central Auditory Dysfunction (Auditory Processing Disorder),,
712,Central Auditory Processing Disorder (Auditory Processing Disorder),,
713,Central bilateral acoustic NF (Neurofibromatosis),,
714,Central Diabetes Insipidus (Diabetes Insipidus),,
715,Central Nervous System Disorders,,
716,Central Nervous System Infection (CNS Infection),,
717,Cerebellar Degeneration,,
718,Cerebral abscess (CNS Infection),,
719,Cerebral Aneurysm,,
720,Cerebral Arteriography,,
721,Cerebral Edema,,
722,Cerebral hemorrhage (Hemorrhagic Stroke),,
723,Cerebral Palsy,,
724,Cerebral Spasticity,,
725,Cerebral Sphingolipidosis,,
726,Cerebral Thrombosis&Embolism,,
727,Cerebral Vascular Disorder,,
728,Cerebrovascular Accident (Ischemic Stroke),,
729,Cerebrovascular Insufficiency,,
730,Cerumen Removal (Ear Wax Impaction),,
731,Cervical Cancer,,
732,Cervical Dysplasia (Cervical Intraepithelial Neoplasias),,
733,Cervical Dystonia (Spasmodic Torticollis),,
734,Cervical Intraepithelial Neoplasias (Cervical Dysplasia),,
735,Cervical Polyps,,
736,Cervical Radiculopathy (Radiculopathy),,
737,Cervical Ripening,,
738,Cervicitis,,
739,Cesarean Section,,
740,Cestodiasis,,
741,CFIDS (Chronic Fatigue Syndrome),,
742,CFS (Chronic Fatigue Syndrome),,
743,Chagas disease (Trypanosomiasis),,
744,Chalazion (Meibomian Cyst),,
745,Chancroid,,
746,Change of Life (Menopausal Disorders),,
747,Charcot-Marie-Tooth Disease,,
748,Charley horse (Muscle Spasm),,
749,CHD (Coronary Artery Disease),,
750,Chemical cystitis (Alkylating Agent Cystitis),,
751,Chemical Injury (Multiple Chemical Sensitivity),,
752,Chemical Pneumonitis (Aspiration Pneumonia),,
753,Chemical Sensitivity (Multiple Chemical Sensitivity),,
754,CHF (Heart Failure),,
755,Chiari Malformation,,
756,Chickenpox (Varicella-Zoster),,
757,Chikungunya (Chikungunya Virus Infection),,
758,Chikungunya Fever (Chikungunya Virus Infection),,
759,Chikungunya Hemorrhagic Fever (Chikungunya Virus Infection),,
760,Chikungunya Virus Infection,,
761,Childhood Hyperkinesis (ADHD),,
762,Chlamydia Infection,,
763,Chlamydial urethritis (Nongonococcal Urethritis),,
764,Cholangiocarcinoma (Biliary Tract Tumor),,
765,Cholangitis,,
766,Cholecystitis,,
767,Choledocholithiasis (Gallstones),,
768,Cholelithiasis & Acute Cholecystitis and Obstruction,,
769,Cholelithiasis (Gallstones),,
770,Cholelithiasis with Acute Cholecystitis,,
771,Cholelithiasis with Obstruction,,
772,Cholera Prophylaxis,,
773,Cholera,,
774,Cholestatic Conjugated Hyperbilirubinemia (Hyperbilirubinemia),,
775,Cholesteremia (High Cholesterol),,
776,"Cholesterol, Elevated Levels (High Cholesterol)",,
777,"Cholesterol, High (High Cholesterol)",,
778,Cholesterolemia (High Cholesterol),,
779,Chorioblastoma (Choriocarcinoma),,
780,Choriocarcinoma,,
781,Chorioditis,,
782,Chorioepithelioma (Trophoblastic Disease),,
783,Chorioretinitis,,
784,Christmas Disease (Factor IX Deficiency),,
785,Chromoblastomycosis (Chromomycosis),,
786,Chromomycosis,,
787,Chronic Active Hepatitis,,
788,Chronic Beryllium Disease (Berylliosis),,
789,Chronic Brain Syndrome (Dementia),,
790,Chronic Bronchitis (COPD),,
791,Chronic Central Venous Catheterization,,
792,Chronic Cholecystitis (Cholecystitis),,
793,Chronic Cough (Cough),,
794,Chronic Daily Headache (New Daily Persistent Headache),,
795,Chronic Depression (Persistent Depressive Disorder),,
796,"Chronic Diarrhea (Diarrhea, Chronic)",,
797,Chronic Eosinophilic Leukemia,,
798,Chronic Fatigue and Immune Dysfunction Syndrome (Chronic Fatigue Syndrome),,
799,Chronic Fatigue Syndrome,,
800,Chronic Glomerulonephritis (Glomerulonephritis),,
801,Chronic Granulocytic Leukemia (Chronic Myelogenous Leukemia),,
802,Chronic Granulomatous Disease,,
803,Chronic Hepatitis B (Hepatitis B),,
804,Chronic Hepatitis C (Hepatitis C),,
805,Chronic Idiopathic Constipation,,
806,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,,
807,Chronic Kidney Disease,,
808,Chronic Lyme Disease (Lyme Disease),,
809,Chronic Lymphocytic Leukemia,,
810,Chronic Lymphocytic Thyroiditis (Hashimoto's disease),,
811,Chronic Middle Ear Infection (Chronic Otitis Media),,
812,Chronic Motor Tic Disorder (Tic Disorder),,
813,Chronic Mucocutaneous Candidiasis,,
814,Chronic Myelogenous Leukemia,,
815,Chronic Myofascial Pain,,
816,Chronic Obstructive Airway Disease (COPD),,
817,Chronic Obstructive Lung Disease (COPD),,
818,Chronic Obstructive Pulmonary Disease (COPD),,
819,"Chronic Obstructive Pulmonary Disease, Acute (COPD, Acute)",,
820,"Chronic Obstructive Pulmonary Disease, Maintenance (COPD, Maintenance)",,
821,Chronic Orthostatic Intolerance (Postural Orthostatic Tachycardia Syndrome),,
822,Chronic Otitis Media,,
823,Chronic overactivity of the bladder (Overactive Bladder),,
824,Chronic Pain,,
825,Chronic Pancreatitis,,
826,Chronic Pelvic Pain Syndrome (Prostatitis),,
827,Chronic Prostate Pain (Prostatitis),,
828,Chronic Prostatitis (Prostatitis),,
829,Chronic Renal Disease (Chronic Kidney Disease),,
830,Chronic Renal Failure (Renal Failure),,
831,Chronic Sinusitis (Sinusitis),,
832,Chronic Spasticity,,
833,Chronic Symptomatic HIV Infection (HIV Infection),,
834,Chronic Urinary Tract Infection (Urinary Tract Infection),,
835,Chronic vocal tic disorder (Tic Disorder),,
836,Churg-Strauss Allergic Angiitis,,
837,CIDP (Chronic Inflammatory Demyelinating Polyradiculoneuropathy),,
838,Cigarette Smoker (Smoking),,
839,Circumscribed Scleroderma (Systemic Sclerosis),,
840,Cirrhosis,,
841,CKD (Chronic Kidney Disease),,
842,Climacteric (Menopausal Disorders),,
843,Clinical Depression (Major Depressive Disorder),,
844,CLL (Chronic Lymphocytic Leukemia),,
845,Clornorchis sinensis (Liver Fluke),,
846,Clostridial Infection,,
847,Clostridium Difficile Colitis (Pseudomembranous Colitis),,
848,Clostridium difficile Infection (Clostridial Infection),,
849,Clostridium Difficile Infection Recurrence Prevention (Prevention of Clostridium Difficile Infection Recurrence),,
850,Clostridium difficile-Associated Diarrhea (Clostridial Infection),,
851,Closure of Colostomy,,
852,Cluster Headaches,,
853,Cluster-Tic Syndrome,,
854,CML (Chronic Myelogenous Leukemia),,
855,CMP (Chronic Myofascial Pain),,
856,CMT (Charcot-Marie-Tooth Disease),,
857,CMV Gastroenteritis,,
858,CMV Infection (Cytomegalovirus Infection),,
859,CMV Pneumonia,,
860,CMV Retinitis,,
861,"CMV, congenital (Cytomegalovirus Infection)",,
862,CNS abscess (CNS Infection),,
863,CNS Infection,,
864,CNS Magnetic Resonance Imaging,,
865,CNS Tuberculosis,,
866,Coagulation Defects and Disorders,,
867,Coagulopathy (Bleeding Disorder),,
868,Coagulopathy of Renal Failure,,
869,Coal miner's elbow (Bursitis),,
870,Coarctation of the aorta (Aortic Coarctation),,
871,"Cocaine intoxication (Substance Abuse, Cocaine)",,
872,"Coccidioidomycosis, acute pulmonary (Coccidioidomycosis)",,
873,"Coccidioidomycosis, chronic pulmonary (Coccidioidomycosis)",,
874,"Coccidioidomycosis, disseminated (Coccidioidomycosis)",,
875,"Coccidioidomycosis, Meningitis",,
876,"Coccidioidomycosis, Prophylaxis",,
877,Coccidioidomycosis,,
878,Cogan's Syndrome,,
879,Cold (Cold Symptoms),,
880,Cold Sores (Herpes Simplex Labialis),,
881,Cold Symptoms,,
882,Colic (Gas),,
883,"Colitis, Noninfectious (Noninfectious Colitis)",,
884,"Colitis, pseudomembranous (Pseudomembranous Colitis)",,
885,"Colitis, Ulcerative (Ulcerative Colitis)",,
886,Colitis,,
887,Collagen Vascular Disease,,
888,Colon Cancer (Colorectal Cancer),,
889,Colon Carcinoma (Colorectal Cancer),,
890,Colonic ileus (Intestinal Obstruction),,
891,Colonic Ulceration,,
892,Colonoscopy,,
893,"Color Vision Defect, Acquired",,
894,Colorectal Cancer,,
895,Colorectal Carcinoma (Colorectal Cancer),,
896,Colostomy (Closure of Colostomy),,
897,Colostomy Closure (Closure of Colostomy),,
898,Coma Induction,,
899,Common bile duct stone (Gallstones),,
900,Common Cold (Cold Symptoms),,
901,Common ichthyosis (Ichthyosis),,
902,Common Warts (Warts),,
903,Community-acquired MRSA (Methicillin-Resistant Staphylococcus Aureus Infection),,
904,Community-acquired pneumonia (Pneumonia),,
905,Complete Abortion (Abortion),,
906,Complete Heart Block (Heart Block),,
907,Complex Partial Seizure (Seizures),,
908,Complex Post Traumatic Stress Disorder (Post Traumatic Stress Disorder),,
909,Complex Regional Pain Syndrome (Reflex Sympathetic Dystrophy Syndrome),,
910,Complicated Migraine (Migraine),,
911,Complicated Skin and Skin Structure Infection (Skin and Structure Infection),,
912,Compression Fracture of Vertebral Column,,
913,Compression fractures of the back (Compression Fracture of Vertebral Column),,
914,Compulsive Hoarding (Hoarding Disorder),,
915,Computed Tomography,,
916,Condyloma (Condylomata Acuminata),,
917,Condylomata Acuminata,,
918,Congenital Adrenal Hyperplasia (Adrenogenital Syndrome),,
919,Congenital Cataract (Cataract),,
920,Congenital cytomegalovirus (Cytomegalovirus Infection),,
921,Congenital Fibrinogen Deficiency,,
922,Congenital Heart Disease (Heart Disease),,
923,Congenital Herpes Simplex (Herpes Simplex - Congenital),,
924,Congenital myotonia (Myotonia Congenita),,
925,Congenital Nephrotic Syndrome (Nephrotic Syndrome),,
926,Congenital Syphilis,,
927,Congestive Heart Failure (Heart Failure),,
928,Conjunctival Mucosa-Associated Lymphoid Tissue Lymphoma,,
929,"Conjunctivitides, allergic (Conjunctivitis, Allergic)",,
930,"Conjunctivitis, Allergic",,
931,"Conjunctivitis, Bacterial",,
932,Conjunctivitis,,
933,Connective Tissue Disorders,,
934,"Constipation, Acute",,
935,"Constipation, Chronic Idiopathic (Chronic Idiopathic Constipation)",,
936,"Constipation, Chronic",,
937,"Constipation, Drug Induced",,
938,"Constipation, Opioid-Induced (Opioid-Induced Constipation)",,
939,Constipation,,
940,Constrictive Pericarditis,,
941,Consumption coagulopathy (Bleeding Disorder),,
942,Contact Dermatitis (Atopic Dermatitis),,
943,Contraception (Birth Control),,
944,Conversion disorder (Neurosis),,
945,Convulsions (Seizures),,
946,Cooley's anemia (Thalassemia),,
947,"COPD, Acute",,
948,"COPD, Maintenance",,
949,COPD,,
950,Cor Pulmonale,,
951,Corneal Abrasion,,
952,Corneal Cystine Crystal Accumulation,,
953,Corneal Refractive Surgery,,
954,Corneal Ulcer,,
955,Coronary Arteriography,,
956,Coronary Artery Disease,,
957,Coronary Heart Disease (Coronary Artery Disease),,
958,Coryza (Cold Symptoms),,
959,Costochondritis,,
960,Cough and Blocked Nose (Cough and Nasal Congestion),,
961,Cough and Nasal Congestion,,
962,"Cough, chronic (Cough)",,
963,Cough,,
964,CP (Prostatitis),,
965,CPPS (Prostatitis),,
966,Crabs (Lice),,
967,CRD (Chronic Kidney Disease),,
968,Creeping eruption (Cutaneous Larva Migrans),,
969,Crescentic Glomerulonephritis (Glomerulonephritis),,
970,CREST Syndrome (Scleroderma),,
971,CRF (Renal Failure),,
972,Crigler-Najjar Syndrome (Hyperbilirubinemia),,
973,"Crohn's Disease, Acute",,
974,"Crohn's Disease, Maintenance",,
975,Crohn's Disease,,
976,Croup,,
977,Crow's Feet (Facial Wrinkles),,
978,Crow's Feet Wrinkles (Orbicularis Oculi),,
979,CRPS (Reflex Sympathetic Dystrophy Syndrome),,
980,Cryoglobulinemia,,
981,Cryopyrin-Associated Periodic Syndromes,,
982,"Cryptococcal Meningitis, Immunocompetent Host",,
983,"Cryptococcal Meningitis, Immunosuppressed Host",,
984,Cryptococcal Meningitis,,
985,"Cryptococcosis, Prophylaxis",,
986,Cryptococcosis,,
987,Cryptosporidiosis,,
988,Cryptosporidium Enteritis (Cryptosporidiosis),,
989,Cryptosporidium Infection (Cryptosporidiosis),,
990,CSD (Bartonellosis),,
991,cSSSI (Skin and Structure Infection),,
992,CTCL (Cutaneous T-cell Lymphoma),,
993,"Cushing's Syndrome, ectopic (Cushing's Syndrome)",,
994,"Cushing's Syndrome, exogenous (Cushing's Syndrome)",,
995,Cushing's Syndrome,,
996,Cutaneous Anthrax (Anthrax),,
997,cutaneous APUDoma (Merkel Cell Carcinoma),,
998,Cutaneous Bacillus anthracis,,
999,Cutaneous Candidiasis,,
1000,Cutaneous Fungal Infection,,
1001,Cutaneous Larva Migrans,,
1002,Cutaneous Leishmaniasis (Leishmaniasis),,
1003,Cutaneous Sporotrichosis,,
1004,Cutaneous T-cell Lymphoma,,
1005,"Cuts, minor (Minor Cuts)",,
1006,CVA (Ischemic Stroke),,
1007,CVD History (Familial) - Ischemic Heart Disease (History (Familial) - Ischemic Heart Disease),,
1008,CVD History - Myocardial Infarction (History - Myocardial Infarction),,
1009,Cyanide Poisoning,,
1010,Cyclic Vomiting Syndrome,,
1011,Cyclical Vomiting Syndrome (Cyclic Vomiting Syndrome),,
1012,Cyclitis,,
1013,Cyclothymia (Cyclothymic Disorder),,
1014,Cyclothymic Disorder,,
1015,Cystic acne (Acne),,
1016,Cystic Fibrosis with Ileus,,
1017,Cystic Fibrosis,,
1018,Cysticercosis,,
1019,Cysticercus cellulosae,,
1020,Cystinuria,,
1021,Cystitis (Bladder Infection),,
1022,Cystitis Prophylaxis (Prevention of Bladder infection),,
1023,"Cystitis, acute bacterial (Urinary Tract Infection)",,
1024,"Cystitis, Interstitial (Interstitial Cystitis)",,
1025,"Cystitis, noninfectious (Alkylating Agent Cystitis)",,
1026,Cystourethrography,,
1027,Cytomegaloviral pneumonia (CMV Pneumonia),,
1028,Cytomegalovirus Infection,,
1029,Cytomegalovirus Pneumonia (CMV Pneumonia),,
1030,Cytomegalovirus Retinitis (CMV Retinitis),,
1031,Dacryocystitis,,
1032,Dandruff,,
1033,Daytime sleep disorder (Narcolepsy),,
1034,DCIS (Breast Cancer),,
1035,De Quervain's tenosynovitis (Synovitis),,
1036,Deafness (Hearing Loss),,
1037,Decubitus Sore (Dermal Ulcer),,
1038,Decubitus Ulcer (Dermal Ulcer),,
1039,Deep Neck Infection,,
1040,Deep Vein Thrombosis Prophylaxis after Abdominal Surgery,,
1041,Deep Vein Thrombosis Prophylaxis after General Surgery,,
1042,Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,,
1043,Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,,
1044,Deep Vein Thrombosis Prophylaxis after Orthopedic Surgery,,
1045,Deep Vein Thrombosis&Pulmonary Embolism Prophylaxis Following Hip Replacement Surgery,,
1046,"Deep Vein Thrombosis, First Event",,
1047,"Deep Vein Thrombosis, Prophylaxis",,
1048,"Deep Vein Thrombosis, Recurrent Event",,
1049,Deep Vein Thrombosis,,
1050,Deep venous thrombosis (Deep Vein Thrombosis),,
1051,Deferoxamine Infusion Test,,
1052,Degenerative Arthritis (Osteoarthritis),,
1053,Degenerative Disc Disease (Back Pain),,
1054,Degenerative joint disease (Osteoarthritis),,
1055,Dehydration,,
1056,Delayed gastric emptying (Gastroparesis),,
1057,"Delayed Puberty, Male",,
1058,Delirium tremens (Alcohol Withdrawal),,
1059,Delivery,,
1060,Delusional Disorder (Paranoid Disorder),,
1061,Dementia with Depressive Features,,
1062,Dementia with Lewy bodies (Lewy Body Dementia),,
1063,Dementia,,
1064,Dendritic Keratitis (Herpetic Keratitis),,
1065,Dendritic Ulcers (Herpetic Keratitis),,
1066,Dengue Fever,,
1067,Dengue Hemorrhagic Fever (Dengue Fever),,
1068,Dengue Shock Syndrome (Dengue Fever),,
1069,Dental (Oral and Dental Conditions),,
1070,Dental Abscess,,
1071,Dental Antibiotic Prophylaxis,,
1072,Dental Pain (Toothache),,
1073,Dependent Personality Disorder,,
1074,"Depression, Chronic (Persistent Depressive Disorder)",,
1075,"Depression, Neurotic (Neurotic Depression)",,
1076,"Depression, Postnatal (Postpartum Depression)",,
1077,"Depression, Postpartum (Postpartum Depression)",,
1078,"Depression, Psychotic (Depressive Psychosis)",,
1079,Depression,,
1080,Depressive Psychosis,,
1081,Dercum Syndrome (Dercum's Disease),,
1082,Dercum's Disease,,
1083,"Dermal Necrosis, Prophylaxis",,
1084,"Dermal Necrosis, Treatment",,
1085,Dermal Necrosis,,
1086,Dermal Ulcer,,
1087,Dermatillomania (Excoriation Disorder),,
1088,Dermatitis Herpetiformis,,
1089,Dermatitis verrucosa (Chromomycosis),,
1090,"Dermatitis, Allergic (Atopic Dermatitis)",,
1091,"Dermatitis, Atopic (Eczema)",,
1092,"Dermatitis, Contact (Atopic Dermatitis)",,
1093,"Dermatitis, Diaper (Diaper Rash)",,
1094,"Dermatitis, Drug-Induced",,
1095,Dermatitis,,
1096,Dermatofibrosarcoma Protuberans,,
1097,Dermatographism,,
1098,Dermatoheliosis (Photoaging of the Skin),,
1099,Dermatologic Lesion,,
1100,Dermatological Disorders,,
1101,Dermatomyositis,,
1102,Dermatophytosis,,
1103,Dermatosclerosis (Systemic Sclerosis),,
1104,Desert Storm Syndrome (Gulf War Syndrome),,
1105,Detrusor hyperreflexia (Overactive Bladder),,
1106,Detrusor instability (Overactive Bladder),,
1107,"Diabetes (Diabetes, Type 2)",,
1108,Diabetes help center,,
1109,Diabetes Insipidus,,
1110,Diabetes Mellitus,,
1111,"Diabetes, Type 1",,
1112,"Diabetes, Type 2",,
1113,"Diabetic Coma, in DM Type II",,
1114,"Diabetic Coma, in DM Type I",,
1115,Diabetic Coma,,
1116,Diabetic Foot Ulcer (Dermal Ulcer),,
1117,Diabetic Hyperglycemic Hyperosmolar Coma (Nonketotic Hyperosmolar Syndrome),,
1118,"Diabetic Ketoacidosis, in DM Type II",,
1119,"Diabetic Ketoacidosis, in DM Type I",,
1120,Diabetic Ketoacidosis,,
1121,Diabetic Kidney Disease (Diabetic Nephropathy),,
1122,Diabetic Macular Edema,,
1123,Diabetic Nephropathy (Diabetic Kidney Disease),,
1124,Diabetic Nerve Damage (Diabetic Peripheral Neuropathy),,
1125,Diabetic Neuropathic Ulcers (Dermal Ulcer),,
1126,Diabetic Peripheral Neuropathy,,
1127,Diabetic Retinopathy,,
1128,Diagnosis and Investigation,,
1129,Diagnostic Bronchograms,,
1130,Diaper Dermatitis (Diaper Rash),,
1131,"Diaper dermatitis, candida-associated (Diaper Rash)",,
1132,"Diaper dermatitis, irritant-induced (Diaper Rash)",,
1133,Diaper Rash,,
1134,"Diarrhea, Acute",,
1135,"Diarrhea, antibiotic-associated (Pseudomembranous Colitis)",,
1136,"Diarrhea, Chronic",,
1137,"Diarrhea, drug-induced (Diarrhea, Acute)",,
1138,Diarrhea,,
1139,DIC (Bleeding Disorder),,
1140,Dichuchwa (Bejel),,
1141,DID (Dissociative Identity Disorder),,
1142,Dientamoeba fragilis,,
1143,Dientamoebiasis (Dientamoeba fragilis),,
1144,Dietary Fiber Supplementation,,
1145,Difficulty passing stool (Constipation),,
1146,Difficulty sleeping (Insomnia),,
1147,Difficulty Swallowing (Dysphagia),,
1148,Diffuse esophageal spasms (Esophageal Spasm),,
1149,Diffuse Idiopathic Skeletal Hyperostosis,,
1150,Diffuse Proliferative Glomerulonephritis (Glomerulonephritis),,
1151,Digital Subtraction Angiography,,
1152,Digitalis Glycoside Toxicity,,
1153,Digitalis Toxicity (Digitalis Glycoside Toxicity),,
1154,Dilated Cardiomyopathy (Cardiomyopathy),,
1155,Diphtheria Prophylaxis,,
1156,Diphtheria,,
1157,Diphyllobothriasis (Fish Tapeworm Infection),,
1158,Diphyllobothrium latum (Fish Tapeworm Infection),,
1159,Dipylidium caninum (Dog Tapeworm Infection),,
1160,Discoid Eczema (Eczema),,
1161,Discoid Lupus Erythematosus (Lupus Erythematosus),,
1162,DISH (Diffuse Idiopathic Skeletal Hyperostosis),,
1163,Dislocated joint (Muscle Pain),,
1164,Disorganized Schizophrenia (Schizophrenia),,
1165,Disruptive Mood Dysregulation Disorder,,
1166,Disseminated Intravascular Coagulation,,
1167,Disseminated Lupus Erythematosus (Systemic Lupus Erythematosus),,
1168,"Disseminated tuberculosis (Tuberculosis, Extrapulmonary)",,
1169,Dissociative Identity Disorder,,
1170,Diverticulitis with Hemorrhage,,
1171,Diverticulitis,,
1172,Diverticulosis (Gastrointestinal Diverticula),,
1173,Dizziness (Vertigo),,
1174,DJD (Osteoarthritis),,
1175,DKA (Diabetic Ketoacidosis),,
1176,DLB (Lewy Body Dementia),,
1177,DLE (Lupus Erythematosus),,
1178,DME (Diabetic Macular Edema),,
1179,Dog Tapeworm Infection (Dipylidium caninum),,
1180,Double Chin (Submental Fullness),,
1181,Down Syndrome,,
1182,DPD (Dependent Personality Disorder),,
1183,DPN (Diabetic Peripheral Neuropathy),,
1184,Dracunculiasis,,
1185,Dressler's syndrome (Pericarditis),,
1186,Drooling (Excessive Salivation),,
1187,Dropsy (Edema),,
1188,Drowsiness (Hypersomnia),,
1189,Drug Abuse (Drug Dependence),,
1190,Drug Addiction (Drug Dependence),,
1191,Drug Dependence,,
1192,Drug Induced Vitamin&Mineral Deficiency,,
1193,Drug Psychosis,,
1194,Drug-Induced Dementia,,
1195,Drug-Induced Hypertension (High Blood Pressure),,
1196,Drug-Induced Immune Hemolytic Anemia (Autoimmune Hemolytic Anemia),,
1197,Drug-Induced Immune Thrombocytopenia (Thrombocytopenia Drug Induced),,
1198,Drug-Induced Sleep Disorder,,
1199,Dry Eye Disease,,
1200,Dry Mouth (Xerostomia),,
1201,Dry Skin (Xerosis),,
1202,DT's (Alcohol Withdrawal),,
1203,DUB (Abnormal Uterine Bleeding),,
1204,Dubin-Johnson Syndrome (Hyperbilirubinemia),,
1205,Duchenne Muscular Dystrophy,,
1206,Ductal Carcinoma in Situ (Breast Cancer),,
1207,Duhring's disease (Dermatitis Herpetiformis),,
1208,Dumping Syndrome,,
1209,Duodenal Ulcer Prophylaxis,,
1210,Duodenal Ulcer,,
1211,Duodenitis (Gastritis&Duodenitis),,
1212,Duodenitis&Gastritis with Hemorrhage,,
1213,Dupuytren's contracture,,
1214,Dupuytren's disease (Dupuytren's contracture),,
1215,Dust Mite Allergy (Allergies),,
1216,DVT (Deep Vein Thrombosis),,
1217,Dwarf Tapeworm Infection (Hymenolepis nana),,
1218,Dysautonomia,,
1219,Dysentery (Infectious Diarrhea),,
1220,Dysfunctional uterine bleeding (Abnormal Uterine Bleeding),,
1221,Dyslipidemia,,
1222,Dysmenorrhea (Period Pain),,
1223,Dyspareunia,,
1224,Dyspepsia (Indigestion),,
1225,Dysphagia,,
1226,Dysplasia (Cervical Dysplasia),,
1227,Dyspnea,,
1228,Dyspnoea (Dyspnea),,
1229,Dysrhythmia (Cardiac Arrhythmia),,
1230,Dyssomnia (Insomnia),,
1231,Dysthymia (Persistent Depressive Disorder),,
1232,Dysthymic Disorder (Persistent Depressive Disorder),,
1233,Dystonia,,
1234,Dystrophia Myotonica (Muscular Dystrophy),,
1235,Dysuria,,
1236,E. Coli Enteritis (Traveler's Diarrhea),,
1237,E. Coli Infection (Traveler's Diarrhea),,
1238,Ear Conditions,,
1239,"Ear Infection, acute middle (Otitis Media)",,
1240,"Ear Infection, acute outer (Acute Otitis Externa)",,
1241,"Ear infection, chronic middle (Chronic Otitis Media)",,
1242,"Ear infection, chronic outer (Otitis Externa)",,
1243,"Ear Infection, middle (Otitis Media)",,
1244,"Ear Infection, outer (Otitis Externa)",,
1245,Ear Wax Impaction,,
1246,"Eating disorder, anorexia (Anorexia Nervosa)",,
1247,Eating Disorders,,
1248,Eaton-Lambert Syndrome (Lambert-Eaton Myasthenic Syndrome),,
1249,Ebola Hemorrhagic Fever (Ebola Virus Disease),,
1250,Ebola Virus Disease,,
1251,EBV (Mononucleosis),,
1252,Echinococcus,,
1253,Echo test (Echocardiography),,
1254,Echocardiography,,
1255,Eclampsia (Toxemia of pregnancy),,
1256,Ectopic Pregnancy,,
1257,Eczema,,
1258,ED (Erectile Dysfunction),,
1259,Edema,,
1260,Edwards syndrome (Trisomy 18),,
1261,EE (Eosinophilic Esophagitis),,
1262,EFD (Executive Function Disorder),,
1263,Ehlers-Danlos Syndrome,,
1264,Ehrlichiosis,,
1265,EID (Borderline Personality Disorder),,
1266,EIRD (Borderline Personality Disorder),,
1267,Ekbom Disease (Restless Legs Syndrome),,
